Study_Hours,Attendance,Previous_Score,Entrance_Score,Admitted
5,81,61,57,No
6,73,93,74,Yes
10,75,65,68,Yes
4,84,53,73,Yes
3,56,69,65,No
5,63,55,72,No
1,61,59,60,No
2,53,73,94,Yes
2,69,75,45,Yes
10,83,61,81,No
9,73,80,83,Yes
9,78,82,54,No
6,87,85,94,Yes
9,89,74,78,Yes
2,75,84,78,No
11,90,45,65,Yes
7,77,64,62,No
12,68,58,62,Yes
2,70,69,70,No
6,61,61,83,Yes
9,67,66,67,Yes
6,72,91,53,Yes
6,84,66,76,Yes
2,93,73,77,Yes
5,62,65,74,Yes
3,80,69,75,No
4,66,68,61,No
9,81,73,53,Yes
8,75,82,54,Yes
8,58,88,44,Yes
5,85,72,68,No
12,70,75,64,Yes
2,71,54,59,No
5,65,67,35,No
2,69,79,49,No
5,80,78,80,Yes
12,74,71,56,No
5,79,79,70,Yes
11,80,74,47,Yes
6,89,82,84,No
9,73,71,63,No
6,61,64,69,No
4,87,72,95,Yes
10,73,40,85,Yes
12,87,73,61,Yes
4,80,40,57,Yes
10,75,47,61,Yes
4,79,73,72,Yes
9,96,74,64,No
10,97,54,60,No
6,77,59,84,Yes
9,78,84,64,Yes
4,87,62,95,No
1,68,95,66,No
2,79,68,88,Yes
6,76,73,70,No
11,79,87,78,Yes
2,68,70,56,No
6,60,56,54,Yes
9,55,67,71,Yes
3,65,68,78,Yes
9,71,52,66,No
4,73,65,48,Yes
10,95,59,47,Yes
7,87,79,46,No
7,66,68,42,Yes
3,79,65,66,Yes
6,72,67,80,Yes
11,73,71,65,Yes
1,78,75,36,No
10,82,56,63,No
6,73,56,63,Yes
9,87,81,92,No
8,65,63,46,No
6,76,51,60,No
4,100,73,87,Yes
8,78,74,71,Yes
2,90,50,72,No
8,77,71,66,Yes
2,82,77,69,Yes
8,75,72,75,No
8,74,76,54,Yes
2,68,51,76,No
10,80,72,47,Yes
5,67,64,69,Yes
10,83,62,67,No
1,87,78,57,No
3,80,86,65,Yes
6,73,90,57,Yes
3,81,84,51,Yes
4,73,67,60,No
8,85,72,51,Yes
2,58,77,69,No
9,73,69,50,Yes
2,56,70,74,No
3,61,78,50,Yes
8,90,67,58,Yes
10,85,59,57,Yes
3,69,63,82,No
4,61,76,69,No
12,50,68,62,Yes
12,71,72,71,Yes
7,100,76,38,Yes
6,80,64,64,No
5,70,77,91,Yes
8,81,73,67,Yes
8,60,53,66,No
4,73,85,72,Yes
1,77,62,77,No
2,75,48,39,No
12,84,55,43,Yes
6,79,56,68,Yes
6,83,69,56,Yes
6,69,65,82,Yes
10,85,64,61,Yes
1,92,75,40,No
1,66,72,49,Yes
4,67,72,35,No
6,89,73,62,Yes
9,74,75,63,No
6,90,43,59,No
6,72,64,79,No
12,91,42,81,Yes
2,77,68,63,No
7,79,68,37,Yes
7,92,81,73,No
6,72,82,72,Yes
10,67,70,69,No
4,72,62,78,Yes
12,81,74,50,Yes
4,60,62,91,Yes
7,82,68,53,Yes
7,71,80,75,Yes
11,87,61,43,Yes
6,52,78,53,No
4,68,76,85,Yes
1,59,57,62,No
5,68,80,76,No
10,78,76,68,Yes
1,74,69,64,No
11,73,59,83,Yes
7,74,58,62,No
2,78,62,42,Yes
4,66,75,55,Yes
7,83,57,72,No
4,83,73,70,No
2,80,53,45,No
8,82,66,56,No
9,79,69,57,Yes
2,96,95,60,Yes
4,75,51,47,Yes
3,73,86,57,Yes
8,68,70,56,No
9,66,73,75,Yes
9,64,69,76,Yes
12,67,73,63,Yes
10,75,66,60,No
4,79,85,67,Yes
2,77,63,54,No
8,68,82,50,No
11,85,60,53,Yes
12,83,67,57,Yes
3,74,55,50,Yes
3,69,73,67,No
1,81,85,74,No
2,78,67,44,No
7,62,66,65,No
7,75,55,62,No
5,79,65,69,No
4,67,49,65,No
10,78,57,46,No
6,61,71,49,No
10,89,84,65,Yes
12,88,95,78,Yes
4,73,61,36,No
3,80,85,69,Yes
12,52,71,80,Yes
8,64,66,63,Yes
4,73,73,72,No
8,65,69,56,No
7,83,69,63,Yes
11,96,63,44,Yes
4,64,51,35,No
12,68,49,77,Yes
12,78,76,52,No
3,92,65,59,Yes
2,64,61,47,No
7,78,68,47,No
1,94,78,63,No
4,59,70,56,No
6,63,60,70,Yes
12,72,83,71,Yes
12,71,87,69,Yes
2,84,74,68,No
11,78,80,86,Yes
2,58,83,51,No
9,81,82,64,No
11,70,75,80,Yes
11,89,75,81,Yes
3,70,74,47,No
11,70,55,61,Yes
2,81,76,83,No
7,84,52,72,Yes
6,80,58,68,No
4,59,84,62,Yes
1,81,78,60,Yes
10,66,86,69,Yes
5,78,65,62,Yes
8,62,54,64,Yes
5,80,65,66,Yes
5,68,69,56,Yes
11,63,69,72,Yes
2,83,82,95,No
9,78,64,42,Yes
9,70,72,69,Yes
5,91,56,55,Yes
4,72,73,73,Yes
1,76,68,66,No
12,79,59,75,Yes
12,70,65,80,Yes
3,81,66,68,No
1,71,65,80,No
2,72,89,35,Yes
1,90,67,86,No
10,66,65,70,Yes
11,52,43,79,Yes
2,92,57,49,No
9,100,65,54,Yes
3,72,60,67,Yes
5,57,85,65,Yes
8,73,66,69,Yes
9,73,83,79,Yes
11,74,69,42,Yes
1,65,68,78,No
3,82,67,65,Yes
4,81,68,62,Yes
4,61,89,46,No
12,83,40,72,Yes
10,97,44,35,Yes
4,78,61,73,No
12,73,68,46,No
6,75,76,66,Yes
7,82,74,63,No
6,59,63,80,Yes
2,78,80,63,No
12,72,80,56,Yes
1,94,70,58,No
3,74,80,82,Yes
3,93,71,72,Yes
4,65,61,60,No
2,82,76,62,No
1,79,69,45,No
9,67,68,70,No
12,78,86,42,Yes
2,88,40,75,Yes
4,73,51,67,No
7,59,54,95,No
12,76,64,51,Yes
9,67,65,64,Yes
10,73,50,88,Yes
7,75,56,80,No
6,59,58,56,Yes
3,60,95,68,Yes
11,81,90,65,No
10,71,63,69,Yes
1,50,64,56,No
9,84,54,64,No
2,79,45,44,No
9,69,67,67,Yes
10,63,56,71,No
2,84,67,62,Yes
6,79,49,44,No
2,100,59,78,No
7,80,70,70,Yes
12,80,72,56,Yes
1,74,73,61,No
5,84,52,45,Yes
12,82,78,52,Yes
4,89,58,58,No
2,71,76,81,No
6,72,68,57,No
7,71,51,73,Yes
8,84,64,58,Yes
4,91,72,68,Yes
12,71,75,63,Yes
7,72,66,76,Yes
4,79,86,58,Yes
12,74,80,45,No
12,86,65,47,Yes
6,53,77,58,No
1,68,91,49,No
8,68,92,70,No
7,53,53,59,Yes
2,66,57,95,Yes
8,67,86,42,Yes
11,74,55,68,Yes
2,87,52,50,No
9,74,62,59,No
2,66,73,67,No
9,75,67,35,Yes
6,86,60,68,No
1,66,60,90,No
12,67,59,59,No
2,82,57,68,No
8,74,95,78,Yes
3,82,72,63,No
12,76,79,57,Yes
9,83,62,35,No
10,66,66,73,Yes
6,76,59,64,Yes
6,74,40,52,No
8,64,51,67,No
10,60,46,57,No
11,83,41,58,No
1,72,54,73,No
8,66,84,48,No
2,75,67,79,Yes
4,87,83,47,No
10,53,73,56,No
4,61,77,90,Yes
10,67,57,80,No
6,91,74,66,Yes
3,79,77,53,No
5,84,61,58,Yes
7,65,75,66,Yes
10,65,75,65,Yes
8,80,61,64,Yes
12,77,55,65,Yes
11,81,54,62,No
10,74,69,46,Yes
8,79,72,58,Yes
4,78,58,77,No
5,84,68,47,No
2,84,75,63,No
5,60,75,54,No
12,54,87,66,Yes
6,86,83,60,Yes
